Run,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Experiment,Instrument,Library Name,Platform,ReleaseDate,Sample Name,Sample_type,SRA Study,Strain,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,HOST,Isolate,Note
SRR6669856,PRJNA432884,SAMN08465164,"Microbe\, viral or environmental",909394724,INSTITUT PASTEUR,Jan-07,public,SRX3646714,Illumina HiSeq 2000,CEC2872,ILLUMINA,2018-06-05T00:00:00Z,CEC2872,cell culture,SRP132163,CEC2872,South Korea,Asia,South Korea,blood,Homo sapiens,B18,
SRR6669882,PRJNA432884,SAMN08465217,"Microbe\, viral or environmental",469107843,INSTITUT PASTEUR,Jan-08,public,SRX3646688,Illumina HiSeq 2000,CEC3627,ILLUMINA,2018-06-05T00:00:00Z,CEC3627,cell culture,SRP132163,CEC3627,Brazil,South America,Brazil,Vagina,Homo sapiens,B116,
SRR6669893,PRJNA432884,SAMN08465283,"Microbe\, viral or environmental",1128237481,INSTITUT PASTEUR,Jan-14,public,SRX3646677,Illumina HiSeq 2000,CEC4497,ILLUMINA,2018-06-05T00:00:00Z,CEC4497,cell culture,SRP132163,CEC4497,France,Europe,France,Food spoilage,,,
SRR6669896,PRJNA432884,SAMN08465226,"Microbe\, viral or environmental",1055767285,INSTITUT PASTEUR,Jan-02,public,SRX3646674,Illumina HiSeq 2000,CEC3662,ILLUMINA,2018-06-05T00:00:00Z,CEC3662,cell culture,SRP132163,CEC3662,France,Europe,France: Paris,blood,Homo sapiens,LRBHCRC1,
SRR6669897,PRJNA432884,SAMN08465227,"Microbe\, viral or environmental",1129871505,INSTITUT PASTEUR,Jan-02,public,SRX3646673,Illumina HiSeq 2000,CEC3663,ILLUMINA,2018-06-05T00:00:00Z,CEC3663,cell culture,SRP132163,CEC3663,France,Europe,France: Paris,blood,Homo sapiens,LRBHCRM2,
SRR6669903,PRJNA432884,SAMN08465229,"Microbe\, viral or environmental",767857770,INSTITUT PASTEUR,Jan-02,public,SRX3646667,Illumina HiSeq 2000,CEC3665,ILLUMINA,2018-06-05T00:00:00Z,CEC3665,cell culture,SRP132163,CEC3665,France,Europe,France: Paris,urine,Homo sapiens,LRBURRM2,
SRR6669904,PRJNA432884,SAMN08465230,"Microbe\, viral or environmental",817548235,INSTITUT PASTEUR,Jan-02,public,SRX3646666,Illumina HiSeq 2000,CEC3668,ILLUMINA,2018-06-05T00:00:00Z,CEC3668,cell culture,SRP132163,CEC3668,France,Europe,France: Paris,urine,Homo sapiens,TNMURR20,
SRR6669915,PRJNA432884,SAMN08465192,"Microbe\, viral or environmental",761090687,INSTITUT PASTEUR,Jan-05,public,SRX3646655,Illumina HiSeq 2000,CEC3561,ILLUMINA,2018-06-05T00:00:00Z,CEC3561,cell culture,SRP132163,CEC3561,Belgium,Europe,Belgium,feces,Homo sapiens,C71,
SRR6669916,PRJNA432884,SAMN08465191,"Microbe\, viral or environmental",713425242,INSTITUT PASTEUR,Jan-07,public,SRX3646654,Illumina HiSeq 2000,CEC3560,ILLUMINA,2018-06-05T00:00:00Z,CEC3560,cell culture,SRP132163,CEC3560,Niger,Africa,Niger,Mouth,Homo sapiens,Niger8,
SRR6669917,PRJNA432884,SAMN08465194,"Microbe\, viral or environmental",866269272,INSTITUT PASTEUR,Jan-02,public,SRX3646653,Illumina HiSeq 2000,CEC3596,ILLUMINA,2018-06-05T00:00:00Z,CEC3596,cell culture,SRP132163,CEC3596,France,Europe,France: Lyon,blood,Homo sapiens,Bougn7,
